Survived,Pclass,Age,Fare,Cabin,C,Q,S,CabinLetter,Age_scaled,Fare_0,Fare_1,Fare_2,Fare_3,Fare_4,Sex_0,Sex_1,Title_0,Title_1,Title_2,Title_3,Title_4,Title_5,Name_length,Pclass_0,Pclass_1,Pclass_2,Pclass_3,Pclass_4,Pclass_5,Family_Size,Family_Size_Category_0,Family_Size_Category_1,Family_Size_Category_2,Ticket_Letter,Ticket_Number
0,0,-0.5582651669995292,-0.49697568026480815,0,0,0,1,0,-0.5582651669995292,1,0,0,0,0,1,0,1,0,0,0,0,0,-0.4274512701485322,0,0,0,0,0,1,2,0,0,1,0,0.0
1,1,0.6071162832273901,2.5225732852055205,1,1,0,0,1,0.6071162832273901,0,1,0,0,0,0,1,0,1,0,0,0,0,2.590962057806627,1,0,0,0,0,0,2,0,0,1,1,0.0
1,0,-0.26691980444279934,-0.4651454364433516,0,0,0,1,0,-0.26691980444279934,0,0,1,0,0,0,1,0,0,1,0,0,0,-0.5352517461469307,0,0,0,0,0,1,1,0,1,0,2,0.0
1,1,0.3886072613098427,0.4131335134449858,1,0,0,1,1,0.3886072613098427,0,0,0,1,0,0,1,0,1,0,0,0,0,1.836358725817837,0,1,0,0,0,0,2,0,0,1,3,113803.0
0,0,0.3886072613098427,-0.4592509468467856,0,0,0,1,0,0.3886072613098427,0,0,1,0,0,1,0,1,0,0,0,0,0,-0.31965079415013364,0,0,0,0,0,1,1,0,1,0,3,373450.0
0,0,-0.4190717449185178,-0.43999718602856236,0,0,1,0,0,-0.4190717449185178,0,0,0,0,1,1,0,1,0,0,0,0,0,-1.182054602137322,0,0,0,0,1,0,1,0,1,0,3,330877.0
0,1,1.7724977334543093,1.6067676567496052,1,0,0,1,2,1.7724977334543093,0,1,0,0,0,1,0,1,0,0,0,0,0,-0.4274512701485322,1,0,0,0,0,0,1,0,1,0,3,17463.0
0,0,-2.0149919797831783,-0.5904033403703796,0,0,0,1,0,-2.0149919797831783,1,0,0,0,0,1,0,0,0,0,1,0,0,0.3271520618402576,0,0,0,0,0,1,5,1,0,0,3,349909.0
1,0,-0.1940834638036169,-0.6638557541311081,0,0,0,1,0,-0.1940834638036169,1,0,0,0,0,0,1,0,1,0,0,0,0,2.37536110580983,0,0,0,0,0,1,3,0,0,1,3,347742.0
1,2,-1.1409558921129888,-0.1298480058239673,0,1,0,0,0,-1.1409558921129888,0,0,0,1,0,0,1,0,1,0,0,0,0,0.8661544418322503,0,0,1,0,0,0,2,0,0,1,3,237736.0
1,0,-1.8693192985048133,-0.44510417181502715,1,0,0,1,3,-1.8693192985048133,0,0,0,0,1,0,1,0,0,1,0,0,0,0.4349525378386561,0,0,0,0,1,0,3,0,0,1,4,0.0
1,1,2.063843096011039,0.4131335134449858,1,0,0,1,1,2.063843096011039,0,0,0,1,0,0,1,0,0,1,0,0,0,-0.31965079415013364,0,1,0,0,0,0,1,0,1,0,3,113783.0
0,0,-0.7039378482778941,-0.4592509468467856,0,0,0,1,0,-0.7039378482778941,0,0,1,0,0,1,0,1,0,0,0,0,0,0.3271520618402576,0,0,0,0,0,1,1,0,1,0,5,0.0
0,0,0.6799526238665725,-0.6281701772855205,0,0,0,1,0,0.6799526238665725,1,0,0,0,0,1,0,1,0,0,0,0,0,0.003750633845061978,0,0,0,0,0,1,7,1,0,0,3,347082.0
0,0,-1.1409558921129888,-0.4684840753508467,0,0,0,1,0,-1.1409558921129888,0,0,1,0,0,0,1,0,0,1,0,0,0,0.9739549178306488,0,0,0,0,0,1,1,0,1,0,3,350406.0
1,2,1.8453340740934918,-0.08436140850518659,0,0,0,1,0,1.8453340740934918,0,0,0,1,0,0,1,0,1,0,0,0,0,0.5427530138370547,0,0,1,0,0,0,1,0,1,0,3,248706.0
0,0,-2.0149919797831783,-0.5641728616656608,0,0,1,0,0,-2.0149919797831783,1,0,0,0,0,1,0,0,0,0,1,0,0,-0.7508526981437278,0,0,0,0,0,1,6,1,0,0,3,382652.0
1,2,0.2798467027766344,-0.22582915882277113,0,0,0,1,0,0.2798467027766344,0,0,0,1,0,1,0,1,0,0,0,0,0,0.11155110984346052,0,0,0,1,0,0,1,0,1,0,3,244373.0
