Age_scaled,Sex_1,Age,Fare,Name_length,Sex_0,Title_0,Ticket_Number,Pclass,CabinLetter,Family_Size,Title_1,Title_2,Ticket_Letter,Cabin,Family_Size_Category_2,Family_Size_Category_0,S,Pclass_4,Pclass_5,Fare_0,Family_Size_Category_1,Fare_1,C,Fare_2,Title_3,Fare_4,Pclass_1,Fare_3,Pclass_3,Title_5,Pclass_0,Title_4,Pclass_2,Q
-0.558265167,0,-0.558265167,-0.49697568,-0.42745127,1,1,0,0,0,2,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.607116283,1,0.607116283,2.522573285,2.590962058,0,0,0,1,1,2,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
-0.266919804,1,-0.266919804,-0.465145436,-0.535251746,0,0,0,0,0,1,0,1,2,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.388607261,1,0.388607261,0.413133513,1.836358726,0,0,113803,1,1,2,1,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.388607261,0,0.388607261,-0.459250947,-0.319650794,1,1,373450,0,0,1,0,0,3,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
-0.419071745,0,-0.419071745,-0.439997186,-1.182054602,1,1,330877,0,0,1,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1.772497733,0,1.772497733,1.606767657,-0.42745127,1,1,17463,1,2,1,0,0,3,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
-2.01499198,0,-2.01499198,-0.59040334,0.327152062,1,0,349909,0,0,5,0,0,3,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-0.194083464,1,-0.194083464,-0.663855754,2.375361106,0,0,347742,0,0,3,1,0,3,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.140955892,1,-1.140955892,-0.129848006,0.866154442,0,0,237736,2,0,2,1,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
-1.869319299,1,-1.869319299,-0.445104172,0.434952538,0,0,0,0,3,3,0,1,4,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2.063843096,1,2.063843096,0.413133513,-0.319650794,0,0,113783,1,1,1,0,1,3,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
-0.703937848,0,-0.703937848,-0.459250947,0.327152062,1,1,0,0,0,1,0,0,5,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.679952624,0,0.679952624,-0.628170177,0.003750634,1,1,347082,0,0,7,0,0,3,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.140955892,1,-1.140955892,-0.468484075,0.973954918,0,0,350406,0,0,1,0,1,3,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1.845334074,1,1.845334074,-0.084361409,0.542753014,0,0,248706,2,0,1,1,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
-2.01499198,0,-2.01499198,-0.564172862,-0.750852698,1,0,382652,0,0,6,0,0,3,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.279846703,0,0.279846703,-0.225829159,0.11155111,1,1,244373,2,0,1,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
0.097261899,1,0.097261899,0.009950425,3.022163962,0,0,345763,0,0,2,1,0,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-0.802996616,1,-0.802996616,-0.498154578,-0.42745127,0,0,2649,0,0,1,1,0,3,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0.388607261,0,0.388607261,-0.225829159,-0.750852698,1,1,239865,2,0,1,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
0.315770921,0,0.315770921,-0.225829159,-0.643052222,1,1,248698,2,4,1,0,0,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
-1.068119551,1,-1.068119551,-0.46023179,0.003750634,0,0,330923,0,0,1,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
-0.121247123,0,-0.121247123,0.835178969,0.11155111,1,1,113788,1,5,1,0,0,3,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
-1.577973936,1,-1.577973936,-0.59040334,0.219351586,0,0,349909,0,0,5,0,1,3,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.607116283,1,0.607116283,-0.468829492,3.237764914,0,0,347077,0,0,7,1,0,3,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.39783211,0,0.39783211,-0.498154578,-0.42745127,1,1,2631,0,0,1,0,0,3,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.776774189,0,-0.776774189,2.261645451,0.327152062,1,1,19950,1,1,6,0,0,3,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
-0.478304865,1,-0.478304865,-0.467305177,0.219351586,0,0,330959,0,0,1,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
-0.125213442,0,-0.125213442,-0.466522389,-0.858653174,1,1,349216,0,0,1,0,0,3,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.752788965,0,0.752788965,0.468343661,-0.319650794,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0
0.541316661,1,0.541316661,2.615805248,2.051959678,0,0,0,1,6,2,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
-0.538495264,1,-0.538495264,-0.473397722,-0.319650794,0,0,335677,0,0,1,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2.646533821,0,2.646533821,-0.343718951,-0.643052222,1,1,0,2,0,1,0,0,6,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
