iter	RMSE
0	5.609962919
1	5.453951141
2	5.302925427
3	5.156792689
4	5.015350627
5	4.878171211
6	4.74614453
7	4.61785056
8	4.493533878
9	4.373278217
10	4.25687075
11	4.143992522
12	4.035036298
13	3.929926386
14	3.828405184
15	3.729628097
16	3.635083705
17	3.543651591
18	3.455226654
19	3.369876018
20	3.287377816
21	3.207205926
22	3.130444089
23	3.055671723
24	2.984177177
25	2.915736519
26	2.849519834
27	2.78540604
28	2.723738602
29	2.664482144
30	2.607602237
31	2.552663605
32	2.498944928
33	2.44723914
34	2.398647502
35	2.351543754
36	2.306320076
37	2.262743496
38	2.220852262
39	2.17977197
40	2.141273228
41	2.103619422
42	2.068726003
43	2.03376141
44	2.001606644
45	1.97005649
46	1.939634645
47	1.91048351
48	1.883357232
49	1.857038246
50	1.832314515
51	1.808352206
52	1.785323501
53	1.763434017
54	1.742673193
55	1.723085709
56	1.703655106
57	1.686098237
58	1.66883323
59	1.652005395
60	1.63589509
61	1.621259851
62	1.606241671
63	1.593044234
64	1.579405075
65	1.56740297
66	1.555228744
67	1.544586368
68	1.533623839
69	1.523273185
70	1.514185786
71	1.505058376
72	1.496372878
73	1.48828623
74	1.47961625
75	1.471722677
76	1.463902597
77	1.456164213
78	1.449611099
79	1.442415156
80	1.435698678
81	1.42962612
82	1.42418645
83	1.418637498
84	1.41340921
85	1.408145748
86	1.402368056
87	1.397975214
88	1.393764144
89	1.389962479
90	1.385825079
91	1.381074315
92	1.376944776
93	1.372756082
94	1.36852999
95	1.365668337
96	1.363301535
97	1.360496276
98	1.358002159
99	1.354927304
100	1.352169271
101	1.349892827
102	1.346353629
103	1.342652723
104	1.339333118
105	1.337390493
106	1.335169704
107	1.332549116
108	1.329936033
109	1.327530511
110	1.325875154
111	1.32425191
112	1.321621038
113	1.319114829
114	1.317465165
115	1.315002728
116	1.313343981
117	1.311414035
118	1.309060283
119	1.306132366
120	1.304042069
121	1.302285112
122	1.299916729
123	1.298582243
124	1.296136138
125	1.29515973
126	1.293355307
127	1.291508075
128	1.290194157
129	1.288769984
130	1.286719407
131	1.285126496
132	1.282990949
133	1.281753289
134	1.28049094
135	1.27925253
136	1.277698738
137	1.276199602
138	1.274673917
139	1.273250844
140	1.271810569
141	1.270791398
142	1.27012023
143	1.268271912
144	1.267406666
145	1.266658751
146	1.265844394
147	1.264467894
148	1.262778408
149	1.261726206
150	1.261107119
151	1.260355114
152	1.259910333
153	1.2584575
154	1.257114889
155	1.255133738
156	1.254473078
157	1.253563863
158	1.25246963
159	1.251590137
160	1.250096665
161	1.249274423
162	1.248553556
163	1.246961478
164	1.246200726
165	1.244965567
166	1.244161712
167	1.243626627
168	1.242608652
169	1.241871354
170	1.241157565
171	1.240245637
172	1.239187202
173	1.23861849
174	1.23737123
175	1.236600246
176	1.235927937
177	1.234819027
178	1.233336031
179	1.2327715
180	1.231394445
181	1.230308923
182	1.229279446
183	1.228662838
184	1.227905398
185	1.226287605
186	1.224359062
187	1.222962899
188	1.221983012
189	1.221045695
190	1.220251048
191	1.219187522
192	1.218160325
193	1.217351859
194	1.216713184
195	1.216146254
196	1.215766763
197	1.215004272
198	1.214556416
199	1.213599251
200	1.212272948
201	1.210666313
202	1.208919476
203	1.208730581
204	1.207090984
205	1.206542441
206	1.205826973
207	1.204607798
208	1.203603626
209	1.201744086
210	1.201514385
211	1.200730844
212	1.199581109
213	1.198504574
214	1.197872202
215	1.195464438
216	1.193011106
217	1.192420412
218	1.19172567
219	1.191444395
220	1.19090579
221	1.18999337
222	1.188963617
223	1.187932182
224	1.187157113
225	1.186315847
226	1.186071802
227	1.185931422
228	1.185296904
229	1.184932565
230	1.184496181
231	1.183554759
232	1.182423095
233	1.182030848
234	1.180735206
235	1.178739926
236	1.178239444
237	1.177063455
238	1.176269366
239	1.175962077
240	1.174818603
241	1.173293985
242	1.172651647
243	1.171946615
244	1.171176296
245	1.170606625
246	1.169943808
247	1.16936965
248	1.167830917
249	1.167334794
250	1.166390956
251	1.165194039
252	1.163882733
253	1.162819998
254	1.162032253
255	1.16167031
256	1.161433134
257	1.160920835
258	1.160032645
259	1.158981343
260	1.157908706
261	1.157067175
262	1.156086413
263	1.155965772
264	1.155189026
265	1.154824866
266	1.154628853
267	1.154296081
268	1.154125226
269	1.153963183
270	1.153482657
271	1.151763284
272	1.150695866
273	1.149281795
274	1.147906341
275	1.147678197
276	1.146964585
277	1.146877615
278	1.146373409
279	1.14564029
280	1.1449154
281	1.144380981
282	1.14342845
283	1.1428314
284	1.141383362
285	1.140150651
286	1.14009317
287	1.139631192
288	1.138922025
289	1.138918061
290	1.138245992
291	1.137070502
292	1.136224579
293	1.136048919
294	1.135109197
295	1.134547028
296	1.13361069
297	1.133325943
298	1.133062206
299	1.132834164
300	1.131925968
301	1.131204775
302	1.131067327
303	1.130262672
304	1.130105791
305	1.128931842
306	1.128825568
307	1.12795949
308	1.12764741
309	1.127487616
310	1.126534752
311	1.125812381
312	1.12483004
313	1.124291345
314	1.123854569
315	1.122766843
316	1.121996438
317	1.121307779
318	1.121216113
319	1.12081369
320	1.119446832
321	1.118983757
322	1.118633354
