iter	Passed	Remaining
0	36	29262
1	69	27830
2	102	27213
3	134	26851
4	167	26580
5	197	26142
6	230	26067
7	267	26440
8	302	26588
9	336	26616
10	369	26486
11	400	26324
12	433	26224
13	464	26093
14	497	26051
15	531	26023
16	563	25936
17	597	25950
18	628	25831
19	659	25738
20	690	25606
21	725	25662
22	757	25599
23	789	25531
24	821	25459
25	853	25405
26	888	25433
27	933	25738
28	974	25902
29	1008	25876
30	1040	25815
31	1071	25715
32	1102	25633
33	1135	25590
34	1174	25665
35	1208	25644
36	1242	25624
37	1274	25563
38	1308	25529
39	1340	25466
40	1372	25412
41	1407	25404
42	1442	25393
43	1478	25396
44	1510	25341
45	1543	25303
46	1576	25254
47	1610	25227
48	1647	25254
49	1681	25219
50	1716	25205
51	1749	25171
52	1783	25134
53	1819	25141
54	1862	25222
55	1895	25182
56	1930	25162
57	1962	25111
58	1994	25054
59	2026	24997
60	2063	24993
61	2095	24939
62	2128	24900
63	2162	24867
64	2193	24807
65	2225	24752
66	2259	24716
67	2292	24675
68	2322	24608
69	2355	24566
70	2387	24517
71	2419	24460
72	2452	24426
73	2488	24417
74	2522	24385
75	2555	24342
76	2591	24333
77	2624	24292
78	2657	24250
79	2690	24210
80	2730	24237
81	2766	24224
82	2799	24185
83	2830	24130
84	2865	24105
85	2901	24089
86	2935	24059
87	2970	24031
88	3005	24010
89	3038	23969
90	3070	23919
91	3102	23877
92	3140	23877
93	3173	23832
94	3205	23789
95	3235	23727
96	3265	23663
97	3297	23617
98	3332	23597
99	3372	23605
100	3407	23579
101	3438	23528
102	3472	23499
103	3506	23468
104	3541	23440
105	3576	23414
106	3609	23379
107	3643	23344
108	3676	23309
109	3709	23270
110	3740	23216
111	3779	23216
112	3811	23175
113	3843	23130
114	3876	23092
115	3908	23047
116	3930	22947
117	3964	22916
118	4000	22894
119	4034	22863
120	4067	22825
121	4099	22781
122	4130	22736
123	4161	22688
124	4196	22663
125	4231	22636
126	4267	22612
127	4298	22569
128	4329	22522
129	4361	22476
130	4393	22435
131	4428	22411
132	4463	22383
133	4494	22338
134	4527	22303
135	4559	22261
136	4592	22227
137	4626	22193
138	4662	22173
139	4699	22154
140	4736	22139
141	4768	22096
142	4799	22052
143	4833	22020
144	4865	21977
145	4897	21939
146	4931	21904
147	4964	21869
148	4995	21827
149	5026	21783
150	5056	21732
151	5088	21693
152	5123	21665
153	5159	21644
154	5193	21611
155	5225	21573
156	5256	21526
157	5287	21486
158	5317	21438
159	5352	21410
160	5388	21384
161	5420	21346
162	5451	21304
