iter	RMSE
0	5.676073954
1	5.517022778
2	5.362985525
3	5.213942273
4	5.069720051
5	4.930011413
6	4.794929662
7	4.664305357
8	4.5383566
9	4.415993711
10	4.297681552
11	4.183276033
12	4.072855615
13	3.965965177
14	3.863010517
15	3.763466674
16	3.667063956
17	3.574204062
18	3.484384
19	3.397648387
20	3.314073966
21	3.233315288
22	3.155493138
23	3.080475163
24	3.008028713
25	2.938585917
26	2.871440382
27	2.806737948
28	2.744660739
29	2.684684662
30	2.627120957
31	2.571773483
32	2.51849373
33	2.467160713
34	2.418028634
35	2.370829522
36	2.325580005
37	2.282085917
38	2.240534496
39	2.200651291
40	2.162478026
41	2.126065396
42	2.091099642
43	2.057605983
44	2.025760857
45	1.995164183
46	1.965953869
47	1.938044254
48	1.911495885
49	1.886219113
50	1.862012138
51	1.838844177
52	1.816783776
53	1.795806209
54	1.775829128
55	1.756873619
56	1.738841231
57	1.721811771
58	1.705547919
59	1.690164127
60	1.675449973
61	1.661490192
62	1.648237653
63	1.635636027
64	1.62355901
65	1.612238742
66	1.601554807
67	1.591381079
68	1.581745416
69	1.572684344
70	1.564061092
71	1.555902432
72	1.548220671
73	1.54101117
74	1.533887256
75	1.527394036
76	1.52106445
77	1.515270854
78	1.509766488
79	1.504576339
80	1.499645937
81	1.494841405
82	1.490277411
83	1.486160792
84	1.482238992
85	1.478612408
86	1.475005263
87	1.471790004
88	1.468749261
89	1.465877129
90	1.462990627
91	1.460327918
92	1.457894986
93	1.455608796
94	1.453371989
95	1.451299122
96	1.449374356
97	1.447572865
98	1.445833393
99	1.444224914
100	1.442641372
101	1.44120712
102	1.439685522
103	1.438377798
104	1.437145582
105	1.435996573
106	1.434926772
107	1.433802438
108	1.432821071
109	1.431815332
110	1.430926537
111	1.430079335
112	1.429349133
113	1.428653945
114	1.427994986
115	1.427361128
116	1.426745942
117	1.426198468
118	1.425672903
119	1.425084758
120	1.424514032
121	1.424082424
122	1.423642912
123	1.423159903
124	1.422767187
125	1.422428396
126	1.422093145
127	1.421738983
128	1.421438895
129	1.421159083
130	1.420860565
131	1.420606535
132	1.420381463
133	1.420003217
134	1.419807914
135	1.419520415
136	1.419323896
137	1.419161128
138	1.419008701
139	1.418849066
140	1.418714207
141	1.418537288
142	1.418327813
143	1.41818459
144	1.41807455
145	1.417961006
146	1.417856591
147	1.417763829
148	1.417664568
149	1.417551829
150	1.417346089
151	1.417272953
