iter	Passed	Remaining
0	117	93953
1	136	54449
2	152	40415
3	168	33462
4	185	29420
5	201	26624
6	217	24628
7	233	23120
8	249	21917
9	266	21021
10	284	20377
11	301	19767
12	317	19200
13	333	18739
14	379	19867
15	423	20745
16	453	20908
17	482	20974
18	519	21354
19	568	22157
20	605	22455
21	637	22551
22	667	22536
23	696	22531
24	724	22458
25	755	22496
26	806	23096
27	842	23217
28	882	23453
29	918	23580
30	951	23614
31	987	23696
32	1017	23652
33	1059	23875
34	1090	23838
35	1120	23782
36	1148	23677
37	1172	23516
38	1214	23703
39	1242	23601
40	1285	23789
41	1307	23600
42	1326	23347
43	1350	23211
44	1369	22976
45	1385	22717
46	1402	22468
47	1419	22240
48	1436	22010
49	1453	21808
50	1479	21725
51	1505	21653
52	1541	21722
53	1566	21647
54	1592	21575
55	1617	21492
56	1645	21447
57	1680	21497
58	1695	21297
59	1708	21073
60	1732	20987
61	1765	21013
62	1797	21026
63	1823	20965
64	1851	20940
65	1876	20865
66	1906	20854
67	1938	20871
68	1968	20849
69	1994	20800
70	2030	20847
71	2055	20787
72	2080	20723
73	2097	20578
74	2114	20439
75	2127	20264
76	2143	20130
77	2163	20023
78	2183	19931
79	2201	19816
80	2220	19707
81	2237	19593
82	2254	19477
83	2273	19376
84	2289	19262
85	2306	19145
86	2322	19032
87	2330	18853
88	2339	18692
89	2361	18631
90	2387	18603
91	2415	18591
92	2436	18523
93	2454	18433
94	2472	18350
95	2489	18259
96	2509	18186
97	2527	18102
98	2543	18009
99	2562	17934
100	2580	17856
101	2598	17784
102	2616	17704
103	2633	17622
104	2651	17548
105	2668	17471
106	2685	17392
107	2695	17273
108	2712	17193
109	2728	17112
110	2744	17034
111	2760	16954
112	2784	16925
113	2801	16860
114	2820	16800
115	2830	16692
116	2848	16628
117	2866	16567
118	2883	16500
119	2899	16430
120	2916	16363
121	2932	16295
122	2948	16231
123	2973	16212
124	2993	16162
125	3019	16149
126	3045	16136
127	3057	16050
128	3069	15965
129	3086	15908
130	3103	15850
131	3120	15794
132	3137	15732
133	3153	15673
134	3167	15604
135	3187	15561
136	3207	15521
137	3225	15474
138	3250	15456
139	3270	15419
140	3287	15366
141	3306	15320
142	3323	15269
143	3340	15216
144	3354	15153
145	3370	15099
146	3380	15015
147	3401	14984
148	3419	14940
149	3438	14901
150	3457	14859
151	3475	14817
152	3496	14785
153	3513	14739
154	3530	14691
155	3548	14647
156	3564	14600
157	3581	14551
158	3597	14502
159	3615	14461
160	3632	14418
161	3652	14385
162	3671	14349
163	3690	14311
164	3708	14273
165	3727	14235
166	3744	14193
167	3763	14159
168	3780	14114
169	3796	14069
170	3812	14024
171	3833	13994
172	3846	13942
173	3859	13883
174	3877	13847
175	3891	13798
176	3912	13769
177	3927	13725
178	3946	13693
179	3963	13651
180	3978	13604
181	3998	13578
182	4015	13540
183	4032	13501
184	4050	13465
185	4061	13405
186	4079	13372
187	4097	13339
188	4114	13302
189	4132	13269
190	4151	13236
191	4169	13203
192	4186	13165
193	4202	13128
194	4219	13090
195	4237	13058
196	4253	13020
197	4269	12982
198	4289	12954
199	4307	12922
200	4325	12889
201	4342	12856
202	4360	12824
203	4377	12790
204	4394	12755
205	4411	12719
206	4426	12681
207	4443	12645
208	4459	12610
209	4478	12581
210	4500	12562
211	4518	12532
212	4536	12501
213	4554	12472
214	4574	12445
215	4591	12414
216	4609	12383
217	4626	12351
218	4637	12303
219	4653	12268
220	4670	12235
221	4688	12207
222	4709	12185
223	4727	12157
224	4749	12137
225	4768	12111
226	4786	12081
227	4803	12050
228	4819	12017
229	4836	11986
230	4852	11953
